university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2022/23,"Anglo-Saxon, Norse, and Celtic",BA,overseas,23340.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891283
Cambridge,2022/23,Archaeology,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891286
Cambridge,2022/23,Archaeology,BA,overseas,23340.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891287
Cambridge,2022/23,Architecture,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891289
Cambridge,2022/23,Architecture,BA,overseas,30537.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891290
Cambridge,2022/23,Asian and Middle Eastern Studies,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891292
Cambridge,2022/23,Asian and Middle Eastern Studies,BA,overseas,23340.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891293
Cambridge,2022/23,Chemical Engineering,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891295
Cambridge,2022/23,Chemical Engineering,BA,overseas,35517.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891296
Cambridge,2022/23,Classics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891297
Cambridge,2022/23,Classics,BA,overseas,23340.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891298
Cambridge,2022/23,Computer Science,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891300
Cambridge,2022/23,Computer Science,BA,overseas,35517.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.891301
Cambridge,2022/23,Economics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891303
Cambridge,2022/23,Economics,BA,overseas,23340.0,Cambridge official - undergraduate_tuition_fees_2022-23.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.891303
